index,SYMPTOMS,JACKFRUIT,SAMBONG,LEMON,JASMINE,MANGO,MINT,AMPALAYA,MALUNGGAY,GUAVA,LAGUNDI
799,Is there a herbal for natural decongestant,0,0,0,0,0,1,0,0,0,0
800,I need a herbal for liver,0,1,0,1,0,0,1,0,0,0
801,Is there a remedy for stomach pain,0,1,0,0,0,1,0,0,0,0
802,What herbal should I use with inflammation,1,1,0,1,0,0,0,1,0,1
803,My need concerns with joint problems,0,1,0,0,0,0,0,0,0,0
804,I need a herbal for cancer,1,0,0,1,0,0,0,0,0,0
805,Is there a remedy for respiratory infection,0,1,0,0,0,0,0,0,1,1
806,Which natural remedy should I use for ulcers,1,0,0,0,0,0,0,0,0,0
807,Which natural remedy should I use for anti-spasm,0,1,1,0,0,0,0,0,0,0
808,Is there a remedy for liver pain,0,0,0,1,0,0,0,0,0,0
809,Which natural remedy should I use for pharyngitis,0,1,0,0,0,0,0,0,1,1
810,What herbal should I use with calcium,0,0,0,0,0,0,0,1,0,0
811,I need a herbal for protein,0,0,0,0,0,0,0,1,0,0
812,I have hair,0,0,0,0,1,0,0,0,0,0
813,My need concerns with high blood pressure,1,1,0,0,1,0,0,0,0,0
814,I have diabetes,1,0,0,0,1,0,1,1,1,0
815,I have insect bites,0,0,0,0,0,0,0,0,0,1
816,Is there a herbal for abdominal pain,0,0,0,1,0,0,0,0,0,0
817,Is there a herbal for bad breath,0,0,0,0,0,1,0,0,0,0
818,Which natural remedy should I use for asthma,0,0,0,0,0,0,0,0,0,1
819,Herbal for antitumor,0,1,0,0,0,0,0,0,0,0
820,Herbal for alkaloids,0,0,0,0,0,0,0,0,0,1
821,Which natural remedy should I use for high fiber,0,0,1,0,0,0,1,0,0,0
822,I have rich in potassium,1,0,0,0,0,0,0,0,0,0
823,My need concerns with muscle pain,0,1,0,0,0,0,0,0,0,1
824,I need a herbal for skin damage,0,0,0,0,0,0,0,0,1,0
825,Herbal for staph infection,0,0,0,0,1,0,0,0,0,0
826,I need a herbal for rhinorrhea,0,0,0,0,0,1,0,0,0,0
827,I need a herbal for tumor,0,1,0,0,0,0,0,0,0,0
828,My need concerns with muscle pain,0,1,0,0,0,0,0,0,0,1
829,Is there a herbal for migraine,0,0,0,0,0,1,0,0,0,0
830,Which natural remedy should I use for fever,0,1,0,0,0,0,0,0,0,1
831,My need concerns with digestive enzymes,0,0,0,0,0,1,0,0,0,0
832,My need concerns with skin,0,0,0,0,1,0,0,0,1,1
833,I need a herbal for dental issues,0,0,0,0,0,1,0,0,0,0
834,Is there a remedy for vitamin E,0,0,0,0,0,0,0,1,0,0
835,I need a herbal for vitamin C,0,0,0,0,0,0,0,1,0,0
836,I have relaxing,0,0,1,1,0,0,0,0,0,0
837,I have wound infection,0,1,0,0,0,0,0,0,0,0
838,I have ligament problems,0,1,0,0,0,0,0,0,0,0
839,What herbal should I use with cell damage,0,0,0,0,1,0,0,0,1,0
840,I need a herbal for skin burns,0,0,0,0,1,0,0,0,0,0
841,Is there a herbal for cell growth,0,0,0,0,1,0,0,0,1,0
842,I have digestive discomfort,0,0,0,0,0,1,0,0,0,0
843,What herbal should I use with sore throat,0,0,0,0,0,1,0,0,0,1
844,I need a herbal for hair,0,0,0,0,1,0,0,0,0,0
845,My need concerns with wound infection,0,1,0,0,0,0,0,0,0,0
846,I have boost energy level,0,0,0,0,0,0,0,1,0,0
847,What herbal should I use with skin irritation,0,0,0,0,0,0,0,0,0,1
848,What herbal should I use with low calories,0,0,0,0,1,0,0,0,0,0
849,Herbal for skin burns,0,0,0,0,1,0,0,0,0,0
850,Is there a herbal for ulcer,0,1,0,0,0,0,0,0,0,0
851,I need a herbal for wound healing,0,1,0,0,0,0,0,0,1,0
852,Herbal for sedative,0,0,1,1,0,0,0,0,0,0
853,Is there a herbal for rich in fiber,0,0,1,0,0,0,1,0,0,0
854,Is there a herbal for stomach pain,0,1,0,0,0,1,0,0,0,0
855,What herbal should I use with aromatherapy,0,0,0,0,0,1,0,0,0,0
856,Which natural remedy should I use for heart disease,0,0,1,1,0,0,0,0,0,0
857,Is there a herbal for diarrhea,0,1,0,1,0,0,0,0,1,0
858,Is there a herbal for wound,0,1,0,0,0,0,0,0,1,0
859,I need a herbal for staph infection,0,0,0,0,1,0,0,0,0,0
860,Which natural remedy should I use for aromatherapy,0,0,0,0,0,1,0,0,0,0
861,Which natural remedy should I use for platelet aggregation,0,1,0,0,0,0,0,0,0,0
862,Herbal for lower cholesterol,0,0,1,0,0,0,0,0,0,0
863,What herbal should I use with tumor,0,1,0,0,0,0,0,0,0,0
864,Is there a herbal for rich in vitamins,0,0,0,0,0,0,1,1,0,0
865,Herbal for upper respiratory tract infection,0,1,0,0,0,0,0,0,1,1
866,My need concerns with acute rhinitis,0,1,0,0,0,0,0,0,0,0
867,I have bone problems,0,1,0,0,0,0,0,0,0,0
868,I need a herbal for rich in micronutrients,1,0,0,0,0,0,0,0,0,0
869,Is there a herbal for digestive discomfort,0,0,0,0,0,1,0,0,0,0
870,What herbal should I use with blood clotting,0,1,0,0,0,0,0,0,0,0
871,I have refreshing,0,0,0,0,0,1,0,0,0,0
872,I need a herbal for constipation,1,0,0,0,0,0,0,0,0,0
873,Is there a remedy for anxiety,0,0,0,1,0,0,0,0,0,0
874,Herbal for freshen breath,0,0,0,0,0,1,0,0,0,0
875,What herbal should I use with natural decongestant,0,0,0,0,0,1,0,0,0,0
876,I need a herbal for insect bites,0,0,0,0,0,0,0,0,0,1
877,Which natural remedy should I use for constipation,1,0,0,0,0,0,0,0,0,0
878,I have blood sugar control,0,0,0,0,0,0,0,1,1,0
879,I have wound healing,0,1,0,0,0,0,0,0,1,0
880,What herbal should I use with obesity,0,1,0,0,0,0,0,0,0,0
881,Herbal for infected wound,0,1,0,0,0,0,0,0,0,0
882,Is there a remedy for diabetes,1,0,0,0,1,0,1,1,1,0
883,Is there a herbal for support fetal growth,0,0,0,0,1,0,0,0,0,0
884,Is there a herbal for insect bites,0,0,0,0,0,0,0,0,0,1
885,Which natural remedy should I use for support fetal growth,0,0,0,0,1,0,0,0,0,0
886,Is there a remedy for low calories,0,0,0,0,1,0,0,0,0,0
887,I have citric acid,0,0,1,0,0,0,0,0,0,0
888,Which natural remedy should I use for anti-obesity,0,1,0,0,0,0,0,0,0,0
889,What herbal should I use with healthy hair,0,0,0,0,1,0,0,0,0,0
890,Is there a herbal for spasm,0,1,1,0,0,0,0,0,0,0
891,My need concerns with sedative,0,0,1,1,0,0,0,0,0,0
892,Is there a herbal for boost energy level,0,0,0,0,0,0,0,1,0,0
893,I need a herbal for antitumor,0,1,0,0,0,0,0,0,0,0
894,Is there a remedy for anemia,0,0,1,0,0,0,0,0,0,0
895,My need concerns with high fiber,0,0,1,0,0,0,1,0,0,0
896,My need concerns with ligament problems,0,1,0,0,0,0,0,0,0,0
897,Is there a remedy for malnutrition,0,0,0,0,0,0,0,1,0,0
898,Is there a herbal for protein,0,0,0,0,0,0,0,1,0,0
899,What herbal should I use with loose bowel movement,0,1,0,0,0,0,0,0,0,0
900,Is there a herbal for anti-spasm,0,1,1,0,0,0,0,0,0,0
901,What herbal should I use with arthritis,0,1,0,0,0,0,0,0,0,0
902,I need a herbal for Alzheimerâ€™s disease,0,0,0,1,0,0,0,0,0,0
903,Herbal for cancer treatment,0,0,0,1,0,0,0,0,0,0
904,My need concerns with support fetal growth,0,0,0,0,1,0,0,0,0,0
905,What herbal should I use with Vitamin A,0,0,0,0,1,0,0,0,0,0
906,My need concerns with dry cough,0,1,0,0,0,0,0,0,0,0
907,What herbal should I use with acute otitis media,0,1,0,0,0,0,0,0,0,0
908,Is there a remedy for cirrhosis,0,0,0,1,0,0,0,0,0,0
909,What herbal should I use with UTI,0,1,0,0,0,0,0,0,0,0
910,Herbal for asthma,0,0,0,0,0,0,0,0,0,1
911,My need concerns with anti-spasm,0,1,1,0,0,0,0,0,0,0
912,My need concerns with rheumatism,0,1,0,0,0,0,0,0,0,0
913,Is there a remedy for tumor,0,1,0,0,0,0,0,0,0,0
914,I have kidney problem,0,1,0,0,0,0,0,0,0,0
915,I need a herbal for vitamin A,0,0,0,0,0,0,0,1,0,0
916,I need a herbal for blood sugar control,0,0,0,0,0,0,0,1,1,0
917,I have liver disease,0,0,0,1,0,0,0,0,0,0
918,I need a herbal for anti-melanogenic,1,1,0,0,0,0,0,0,0,0
919,I need a herbal for relaxing,0,0,1,1,0,0,0,0,0,0
920,Herbal for antioxidant,0,1,0,1,0,0,1,1,1,0
921,What herbal should I use with high blood pressure,1,1,0,0,1,0,0,0,0,0
922,I have dental issues,0,0,0,0,0,1,0,0,0,0
923,Herbal for anti-diabetic,1,0,0,0,1,0,1,0,0,0
924,Herbal for skincare,0,0,0,0,0,0,0,1,0,0
925,My need concerns with tea,0,1,1,1,0,0,0,1,1,0
926,Which natural remedy should I use for inflammation,1,1,0,1,0,0,0,1,0,1
927,Is there a herbal for aromatherapy,0,0,0,0,0,1,0,0,0,0
928,Herbal for skin problems,1,1,0,0,0,0,0,0,0,0
929,I have headaches,0,0,0,0,0,1,0,0,0,0
930,What herbal should I use with rich in vitamins,0,0,0,0,0,0,1,1,0,0
931,I need a herbal for Vitamin A,0,0,0,0,1,0,0,0,0,0
932,Herbal for respiratory ailments,0,0,0,0,0,0,0,0,0,1
